baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2602.09350839082	5.80771921107155	0.145690723014628	39.8633426404811	0	0
ENSMUSG00000025608.9	4115.85827452152	8.29454763621783	0.204113942234779	40.6368499153142	0	0
ENSMUSG00000054889.10	6388.77598516367	4.66716826304538	0.117363507565775	39.7667755492885	0	0
ENSMUSG00000097767.8	3840.72312001939	6.58258793384512	0.154289010991617	42.664010168571	0	0
ENSMUSG00000020758.15	5926.06678296639	4.25723948715025	0.115785973314778	36.7681798172258	5.95660988586575e-296	2.45066843924288e-292
ENSMUSG00000045545.8	3822.96924050075	9.0892587721911	0.249027710825358	36.4989853621767	1.15081543432208e-291	3.94557071657324e-288
ENSMUSG00000047586.4	2251.79493299652	7.47694714343021	0.20748237247989	36.0365415821285	2.24096914371591e-284	6.58556803648287e-281
ENSMUSG00000027375.14	3588.60191822048	5.71575769662207	0.159069530082669	35.9324484937598	9.51575481370115e-283	2.44685740340808e-279
ENSMUSG00000024406.16	2150.23563624544	4.49566258296834	0.125855581030621	35.7208043231277	1.87949549975179e-279	4.29590021393266e-276
ENSMUSG00000037820.15	3654.5754840354	4.01557801891387	0.113231678299007	35.4633798530309	1.80427662806574e-275	3.71157745159403e-272
ENSMUSG00000053797.10	2204.62244281913	7.91588824122831	0.22461560601207	35.2419334603266	4.56024670012667e-272	8.5280758971187e-269
ENSMUSG00000030693.10	1159.71767976594	5.497219014493	0.15625745662641	35.1805227934567	3.97044386714221e-271	6.80633339924853e-268
ENSMUSG00000056602.12	1100.16021988746	5.42284197879973	0.160330484383228	33.8229002404673	9.08628671989807e-251	1.43780003165402e-247
ENSMUSG00000037185.9	1330.52891346163	4.974803478759	0.147344065946078	33.763174966134	6.84996795453226e-250	1.00650493423345e-246
ENSMUSG00000026413.12	1562.71040767797	5.45985358622518	0.16267658161591	33.5626279578228	5.89102455909072e-247	8.07895108033701e-244
ENSMUSG00000047281.3	994.356655366489	5.26711011919608	0.157591928517535	33.4224612183105	6.46871906995865e-245	8.31675124925746e-242
ENSMUSG00000019102.10	3974.42688664426	3.76898395154023	0.115733671572028	32.5660103956399	1.24262224440531e-232	1.50364601115657e-229
ENSMUSG00000031995.9	1190.03746854889	5.95582607901059	0.183979552708483	32.3722174085705	6.75509831587705e-230	7.71995152532815e-227
ENSMUSG00000074796.10	833.661421766914	4.24283820227767	0.139420914761882	30.4318631786633	2.08187134189404e-203	2.25400923021591e-200
ENSMUSG00000034282.3	1185.65337283063	6.7749237287018	0.223015193899814	30.3787540670675	1.04835676834598e-202	1.07828735408225e-199
ENSMUSG00000042793.13	928.95631939672	4.18080831639106	0.1392615553294	30.0212668636513	5.18003860232909e-198	5.07421781373866e-195
ENSMUSG00000063450.14	1875.02325601163	3.46642802814808	0.115940013113787	29.8984615841471	2.06052692388977e-196	1.92668633415166e-193
ENSMUSG00000028435.8	934.820538974438	6.38369192316117	0.21416789632565	29.8069506806685	3.17492284127749e-195	2.83962338121388e-192
ENSMUSG00000049382.10	5516.63442982619	10.8523667297021	0.371131019688678	29.2413356846474	5.78692111243288e-188	4.96011475849403e-185
ENSMUSG00000025432.11	1156.98694002683	6.5169529796438	0.226290963289626	28.798997913597	2.20783514502454e-182	1.81669507073199e-179
ENSMUSG00000022871.13	1027.11938622455	6.86202698363554	0.241099076332597	28.4614403672346	3.51760517661431e-178	2.78310215723588e-175
ENSMUSG00000061126.5	1483.72761605482	8.08462554611955	0.28681129615841	28.1879607058932	8.21437740057956e-175	6.25844287064156e-172
ENSMUSG00000020788.15	1968.3355429199	8.80925241970512	0.313237476881444	28.1232389796043	5.09302953882054e-174	3.74173966582419e-171
